Given:	CG	PT	AQ	RR	AA	CN	CE	PR	QM	OE	OC	TL
CG	13.05	4.02	-1.35	-1.71	-2.08	-0.99	-1.31	-0.87	-1.01	-1.01	0.39	-0.87
PT	-0.99	10.44	1.87	-2.43	-2.94	1.89	-1.86	-1.23	-0.62	-1.43	-0.31	-0.31
AQ	-1.20	-1.88	9.01	3.85	-2.76	-0.28	-1.70	-1.48	-1.73	-1.73	-1.48	-1.48
RR	-1.53	-2.38	-2.48	7.28	2.87	-2.14	-1.93	-1.88	-2.19	-2.19	-1.88	3.41
AA	-1.85	-2.89	-2.76	-2.84	9.39	1.05	-0.60	-1.70	0.41	-2.15	0.64	-1.70
CN	0.37	1.13	-0.99	-0.38	-1.04	3.34	2.67	-1.08	-0.37	-1.26	-1.08	-1.08
CE	-1.17	-1.83	-1.15	-2.39	-1.01	-1.64	9.65	0.97	-0.27	0.43	-1.44	-0.64
PR	-0.75	-1.17	-0.63	-1.83	-2.22	-1.05	-1.40	7.37	0.99	6.16	-0.92	-0.92
QM	-0.90	-1.40	2.40	-1.61	-2.15	-1.26	-0.98	3.92	5.74	-0.41	-0.10	-1.11
OE	-0.79	-1.24	-1.53	-1.94	-2.35	-0.11	-1.49	1.27	0.82	10.63	1.27	-0.98
OC	1.85	2.29	-1.57	0.53	-2.42	2.76	-1.53	-1.01	0.74	-1.17	3.38	-1.01
TL	-0.77	-1.20	-0.70	0.76	-1.70	-1.08	-0.64	-0.95	-1.11	-1.11	3.66	7.12
